DAYS = 35
   160   466   439
   161   727   680
   162   178   382
   163   253   459

REQUESTS = 450
    1    118    1    6    7
    2    72    1    4    5
    3    107    1    2    6
    4    95    1    5    5
    5    150    1    2    5
    6    29    1    6    9
    7    143    1    4    6
    8    34    1    2    10
    9    4    1    4    5
    10    140    1    5    12
    11    79    1    2    9
    12    127    1    3    5
    13    56    1    4    10
    14    120    2    4    4
    15    101    2    4    7
    16    31    2    4    4
    17    89    2    6    8
    18    27    2    4    8
    19    2    2    6    5
    20    43    2    4    14
    21    146    2    5    7
    22    104    2    6    4
    23    52    2    6    9
    24    51    2    6    4
    25    129    2    6    10
    26    96    2    3    10
    27    48    2    4    10
    28    105    2    4    10
    29    72    2    4    10
    30    121    2    3    12
    31    64    2    5    14
    32    111    2    4    6
    33    131    2    4    10
    34    87    2    6    9
    35    63    2    4    3
    36    104    2    3    7
    37    122    2    7    14
    38    22    3    4    4
    39    108    3    8    8
    40    35    3    6    9
    41    147    3    8    7
    42    103    3    8    10
    43    145    3    7    7
    44    143    3    5    15
    45    71    3    7    5
    46    76    4    9    9
    47    49    4    9    10
    48    34    4    8    5
    49    81    4    6    7
    50    100    4    9    3
    51    134    4    7    5
    52    147    4    5    6
    53    77    4    7    8
    54    112    4    5    7
    55    86    4    8    10
    56    10    4    5    7
    57    65    4    8    4
    58    141    4    5    10
    59    133    4    7    12
    60    141    4    7    14
    61    120    4    7    6
    62    78    4    7    9
    63    29    5    7    15
    64    55    5    8    7
    65    30    5    10    10
    66    62    5    10    5
    67    123    5    7    12
    68    12    5    7    6
    69    138    5    9    5
    70    77    5    6    6
    71    106    5    9    4
    72    97    5    10    7
    73    12    5    7    6
    74    146    5    6    15
    75    41    6    11    4
    76    149    6    9    10
    77    79    6    9    6
    78    25    6    11    15
    79    148    6    11    5
    80    60    6    10    9
    81    129    6    11    9
    82    126    6    11    5
    83    102    6    7    3
    84    92    6    11    5
    85    62    6    7    3
    86    138    6    10    15
    87    94    6    9    7
    88    74    6    9    15
    89    81    7    11    14
    90    2    7    10    10
    91    8    7    12    8
    92    70    7    8    8
    93    75    7    9    10
    94    95    7    8    15
    95    6    7    9    7
    96    81    7    11    12
    97    144    7    10    7
    98    126    7    12    5
    99    77    7    12    7
    100    18    8    13    5
    101    122    8    10    12
    102    12    8    13    6
    103    39    8    13    3
    104    42    8    10    4
    105    86    8    12    8
    106    124    8    12    6
    107    135    8    12    10
    108    55    8    12    6
    109    116    8    12    14
    110    16    8    12    4
    111    78    8    13    14
    112    98    8    10    8
    113    37    8    13    12
    114    13    8    9    15
    115    54    8    12    3
    116    110    8    13    8
    117    36    8    12    6
    118    49    9    12    10
    119    71    9    11    7
    120    139    9    11    10
    121    139    9    10    9
    122    73    9    14    3
    123    60    9    10    7
    124    129    9    13    7
    125    126    9    14    9
    126    138    9    13    12
    127    132    9    13    5
    128    76    9    12    9
    129    87    9    11    15
    130    146    9    14    7
    131    49    9    13    10
    132    65    9    13    15
    133    78    9    12    3
    134    35    9    10    10
    135    118    9    13    14
    136    49    9    14    10
    137    126    9    12    12
    138    49    10    12    5
    139    35    10    14    15
    140    112    10    13    10
    141    82    10    14    5
    142    133    10    11    8
    143    59    10    15    4
    144    97    10    14    9
    145    56    10    11    15
    146    126    10    15    15
    147    33    10    14    8
    148    91    10    15    10
    149    125    10    13    8
    150    89    10    12    10
    151    94    10    13    5
    152    49    10    12    10
    153    140    10    12    14
    154    128    10    12    10
    155    31    10    12    6
    156    150    10    11    4
    157    61    11    16    10
    158    18    11    14    3
    159    39    11    13    8
    160    150    11    14    6
    161    90    11    16    15
    162    137    11    15    7
    163    113    11    15    3
    164    98    11    13    7
    165    28    11    15    6
    166    20    11    15    10
    167    129    11    16    14
    168    144    11    12    8
    169    122    11    12    14
    170    150    11    12    12
    171    24    11    15    10
    172    125    12    17    8
    173    4    12    15    3
    174    102    12    13    15
    175    108    12    16    5
    176    7    12    17    7
    177    44    12    17    15
    178    128    12    13    4
    179    15    12    15    14
    180    41    12    17    8
    181    72    12    15    14
    182    4    12    13    7
    183    57    12    13    12
    184    43    12    17    15
    185    129    12    16    15
    186    112    12    14    14
    187    9    12    13    14
    188    6    12    14    10
    189    79    12    16    10
    190    103    12    13    14
    191    101    12    17    4
    192    57    12    17    10
    193    108    12    16    15
    194    119    12    15    5
    195    25    13    17    5
    196    19    13    17    10
    197    95    13    16    5
    198    37    13    15    9
    199    47    13    16    15
    200    118    13    18    15
    201    83    13    15    3
    202    24    13    14    15
    203    141    13    16    5
    204    9    13    14    10
    205    113    13    14    10
    206    84    13    18    3
    207    37    13    16    15
    208    19    13    17    14
    209    46    13    17    14
    210    139    13    15    12
    211    39    14    18    10
    212    114    14    15    7
    213    61    14    15    8
    214    80    14    15    5
    215    66    14    19    7
    216    76    14    19    5
    217    151    14    18    14
    218    44    14    15    10
    219    121    14    15    5
    220    126    14    16    10
    221    56    14    18    3
    222    6    14    15    15
    223    12    14    19    4
    224    121    14    16    4
    225    140    14    18    15
    226    35    14    19    7
    227    16    15    17    14
    228    65    15    19    14
    229    122    15    20    15
    230    9    15    17    12
    231    114    15    19    8
    232    3    15    16    15
    233    138    15    17    5
    234    119    15    17    3
    235    94    15    18    10
    236    74    15    17    4
    237    134    15    20    4
    238    47    15    18    12
    239    48    16    21    7
    240    29    16    18    7
    241    6    16    20    4
    242    43    16    21    15
    243    70    16    20    4
    244    149    16    18    14
    245    105    16    20    5
    246    124    16    17    15
    247    94    16    18    4
    248    68    16    17    9
    249    147    16    21    6
    250    121    16    21    8
    251    55    16    18    3
    252    120    16    18    9
    253    29    17    19    9
    254    57    17    18    4
    255    116    17    22    7
    256    97    17    21    7
    257    27    17    22    15
    258    85    17    20    6
    259    131    17    22    10
    260    4    17    20    10
    261    127    17    19    7
    262    109    17    21    8
    263    71    17    19    6
    264    140    17    20    7
    265    92    17    20    6
    266    11    17    22    14
    267    100    17    19    14
    268    77    17    21    3
    269    103    17    19    14
    270    96    17    18    14
    271    21    17    21    10
    272    11    18    20    8
    273    21    18    22    10
    274    2    18    19    15
    275    36    18    21    15
    276    87    18    22    8
    277    116    18    19    8
    278    97    18    22    5
    279    46    18    21    10
    280    127    18    23    3
    281    4    18    20    15
    282    68    18    22    6
    283    120    18    22    10
    284    37    18    20    15
    285    104    18    20    6
    286    133    18    23    6
    287    54    18    23    12
    288    90    18    23    5
    289    2    18    23    9
    290    85    19    22    10
    291    39    19    20    5
    292    123    19    23    7
    293    5    19    23    7
    294    115    19    22    9
    295    52    19    21    5
    296    131    19    22    15
    297    51    19    20    3
    298    20    19    21    7
    299    102    19    24    9
    300    64    19    22    10
    301    121    19    23    5
    302    81    19    21    7
    303    130    20    24    14
    304    4    20    24    7
    305    61    20    21    8
    306    11    20    25    14
    307    136    20    24    5
    308    111    20    22    4
    309    122    20    22    10
    310    19    20    21    12
    311    87    20    22    12
    312    102    20    21    14
    313    33    20    23    6
    314    61    20    22    5
    315    122    20    25    9
    316    76    20    24    10
    317    147    21    22    7
    318    3    21    22    5
    319    99    21    25    6
    320    126    21    22    12
    321    44    21    23    6
    322    131    21    25    5
    323    144    21    26    6
    324    50    21    22    8
    325    145    21    26    5
    326    58    21    23    3
    327    40    21    26    15
    328    82    21    24    5
    329    23    21    22    14
    330    137    21    26    14
    331    28    21    24    4
    332    57    22    26    14
    333    56    22    25    15
    334    93    22    25    5
    335    119    22    26    5
    336    88    22    24    14
    337    17    22    27    10
    338    64    22    23    14
    339    83    22    24    15
    340    114    22    26    15
    341    133    22    23    4
    342    151    22    25    4
    343    146    22    24    12
    344    27    22    27    15
    345    151    22    26    12
    346    135    23    25    7
    347    13    23    24    4
    348    39    23    24    14
    349    76    23    25    9
    350    128    23    26    8
    351    78    23    27    10
    352    10    23    25    7
    353    12    23    25    7
    354    76    23    26    12
    355    101    23    26    4
    356    100    23    24    14
    357    47    23    26    8
    358    11    24    25    10
    359    104    24    25    7
    360    143    24    25    15
    361    47    24    28    5
    362    69    24    27    9
    363    150    24    26    5
    364    136    24    28    6
    365    103    24    28    3
    366    80    24    26    12
    367    82    24    28    4
    368    7    24    29    4
    369    23    24    28    10
    370    104    24    27    14
    371    87    25    27    15
    372    79    25    30    10
    373    34    25    26    15
    374    22    25    26    7
    375    109    25    28    8
    376    8    25    27    15
    377    146    25    27    7
    378    52    25    30    6
    379    89    25    30    12
    380    44    25    28    4
    381    100    25    27    6
    382    60    25    29    8
    383    66    25    30    14
    384    9    26    28    5
    385    97    26    29    14
    386    117    26    27    5
    387    53    26    31    15
    388    104    26    27    15
    389    105    26    31    10
    390    98    26    31    7
    391    128    26    30    4
    392    143    26    28    5
    393    65    26    27    4
    394    60    26    27    5
    395    13    26    28    7
    396    126    26    29    6
    397    113    26    31    12
    398    51    26    29    10
    399    107    26    31    14
    400    78    26    30    6
    401    72    27    28    15
    402    115    27    28    3
    403    93    27    28    12
    404    34    27    32    6
    405    91    27    28    5
    406    12    27    32    6
    407    64    27    31    14
    408    73    27    30    5
    409    101    27    32    12
    410    87    27    31    14
    411    57    27    28    7
    412    21    27    31    14
    413    129    27    32    4
    414    60    27    29    10
    415    132    27    28    15
    416    108    27    28    12
    417    135    27    31    10
    418    126    28    33    15
    419    33    28    33    8
    420    26    28    29    8
    421    89    28    30    9
    422    25    28    33    8
    423    130    28    33    10
    424    149    28    31    10
    425    104    28    31    7
    426    120    28    31    15
    427    94    28    29    15
    428    85    28    33    14
    429    45    28    33    10
    430    114    28    33    15
    431    108    28    29    4
    432    19    28    32    10
    433    131    28    29    14
    434    126    29    31    15
    435    2    29    33    4
    436    39    29    32    10
    437    36    29    32    12
    438    40    29    32    5
    439    102    29    30    12
    440    79    29    31    6
    441    19    29    32    10
    442    84    29    34    9
    443    136    29    31    14
    444    52    29    30    3
    445    143    29    34    15
    446    31    29    31    3
    447    36    29    31    3
    448    84    29    33    15
    449    34    29    32    10
    450    10    29    34    14
